departure_city,departure_iata,departure_icao,arrival_city,arrival_iata,arrival_icao,status
Innsbruck,INN,LOWI,Birmingham,BHX,EGBB,no_flights
Innsbruck,INN,LOWI,Bristol,BRS,EGGD,no_flights
Innsbruck,INN,LOWI,Edinburgh,EDI,EGPH,no_flights
Innsbruck,INN,LOWI,London Luton,LTN,EGGW,no_flights
Innsbruck,INN,LOWI,Manchester,MAN,EGCC,no_flights
Salzburg,SZG,LOWS,Bristol,BRS,EGGD,no_flights
Salzburg,SZG,LOWS,Liverpool,LPL,EGGP,no_flights
Salzburg,SZG,LOWS,London Gatwick,LGW,EGKK,no_flights
Salzburg,SZG,LOWS,London Luton,LTN,EGGW,no_flights
Salzburg,SZG,LOWS,London Southend,SEN,EGMC,no_flights
Vienna,VIE,LOWW,Basel,BSL,LFSB,no_flights
Vienna,VIE,LOWW,Bristol,BRS,EGGD,no_flights
Vienna,VIE,LOWW,London Gatwick,LGW,EGKK,no_flights
Vienna,VIE,LOWW,Manchester,MAN,EGCC,no_flights
Brussels Intl,BRU,EBBR,Nantes,NTE,LFRS,no_flights
Sofia,SOF,LBSF,London Gatwick,LGW,EGKK,no_flights
Sofia,SOF,LBSF,Manchester,MAN,EGCC,no_flights
Sal - Cape Verde,SID,GVAC,Amsterdam,AMS,EHAM,no_flights
Cyprus Larnaca,LCA,LCLK,Paris Charles de Gaulle,CDG,LFPG,no_flights
Cyprus Paphos,PFO,LCPH,Liverpool,LPL,EGGP,no_flights
Prague,PRG,LKPR,Hamburg,HAM,EDDH,no_flights
Prague,PRG,LKPR,Lille,LIL,LFQQ,no_flights
Prague,PRG,LKPR,Marrakech,RAK,GMMX,no_flights
Copenhagen,CPH,EKCH,Birmingham,BHX,EGBB,no_flights
Copenhagen,CPH,EKCH,Newcastle,NCL,EGNT,no_flights
Cairo Sphinx,SPX,HESX,Berlin Brandenburg,BER,EDDB,no_flights
Cairo Sphinx,SPX,HESX,Geneva,GVA,LSGG,no_flights
