departure_city,departure_iata,departure_icao,arrival_city,arrival_iata,arrival_icao
Tirana,TIA,LATI,Geneva,GVA,LSGG
Tirana,TIA,LATI,Lisbon,LIS,LPPT
Innsbruck,INN,LOWI,Birmingham,BHX,EGBB
Innsbruck,INN,LOWI,Bristol,BRS,EGGD
Innsbruck,INN,LOWI,Edinburgh,EDI,EGPH
Innsbruck,INN,LOWI,London Gatwick,LGW,EGKK
Innsbruck,INN,LOWI,London Luton,LTN,EGGW
Innsbruck,INN,LOWI,Manchester,MAN,EGCC
Salzburg,SZG,LOWS,Bristol,BRS,EGGD
Salzburg,SZG,LOWS,Liverpool,LPL,EGGP
Salzburg,SZG,LOWS,London Gatwick,LGW,EGKK
Salzburg,SZG,LOWS,London Luton,LTN,EGGW
Salzburg,SZG,LOWS,London Southend,SEN,EGMC
Vienna,VIE,LOWW,Basel,BSL,LFSB
Vienna,VIE,LOWW,Bristol,BRS,EGGD
Vienna,VIE,LOWW,London Gatwick,LGW,EGKK
Vienna,VIE,LOWW,Manchester,MAN,EGCC
Vienna,VIE,LOWW,Milan Linate,LIN,LIML
Brussels Intl,BRU,EBBR,Bordeaux,BOD,LFBD
Brussels Intl,BRU,EBBR,Geneva,GVA,LSGG
Brussels Intl,BRU,EBBR,Milan Linate,LIN,LIML
Brussels Intl,BRU,EBBR,Nantes,NTE,LFRS
Brussels Intl,BRU,EBBR,Nice,NCE,LFMN
Brussels Intl,BRU,EBBR,Rome Fiumicino,FCO,LIRF
Burgas,BOJ,LBBG,Berlin Brandenburg,BER,EDDB
Burgas,BOJ,LBBG,London Gatwick,LGW,EGKK
Burgas,BOJ,LBBG,Manchester,MAN,EGCC
Sofia,SOF,LBSF,London Gatwick,LGW,EGKK
Sofia,SOF,LBSF,Manchester,MAN,EGCC
Sofia,SOF,LBSF,Paris Orly,ORY,LFPO
Boa Vista,BVC,GVBA,Lisbon,LIS,LPPT
Boa Vista,BVC,GVBA,Porto,OPO,LPPR
Praia,RAI,GVNP,Lisbon,LIS,LPPT
Praia,RAI,GVNP,Porto,OPO,LPPR
Sal - Cape Verde,SID,GVAC,Amsterdam,AMS,EHAM
Sal - Cape Verde,SID,GVAC,Bristol,BRS,EGGD
Sal - Cape Verde,SID,GVAC,Lisbon,LIS,LPPT
Sal - Cape Verde,SID,GVAC,London Gatwick,LGW,EGKK
Sal - Cape Verde,SID,GVAC,Manchester,MAN,EGCC
Sal - Cape Verde,SID,GVAC,Milan Malpensa,MXP,LIMC
Sal - Cape Verde,SID,GVAC,Porto,OPO,LPPR
Sao Vicente,VXE,GVSV,Lisbon,LIS,LPPT
Sao Vicente,VXE,GVSV,Porto,OPO,LPPR
Dubrovnik,DBV,LDDU,Basel,BSL,LFSB
Dubrovnik,DBV,LDDU,Bordeaux,BOD,LFBD
Dubrovnik,DBV,LDDU,Bristol,BRS,EGGD
Dubrovnik,DBV,LDDU,Edinburgh,EDI,EGPH
Dubrovnik,DBV,LDDU,Geneva,GVA,LSGG
Dubrovnik,DBV,LDDU,London Gatwick,LGW,EGKK
Dubrovnik,DBV,LDDU,Lyon,LYS,LFLL
Dubrovnik,DBV,LDDU,Manchester,MAN,EGCC
Dubrovnik,DBV,LDDU,Nantes,NTE,LFRS
Dubrovnik,DBV,LDDU,Naples,NAP,LIRN
Dubrovnik,DBV,LDDU,Paris Orly,ORY,LFPO
Pula,PUY,LDPL,Amsterdam,AMS,EHAM
Pula,PUY,LDPL,Basel,BSL,LFSB
Pula,PUY,LDPL,Berlin Brandenburg,BER,EDDB
Pula,PUY,LDPL,Bristol,BRS,EGGD
Pula,PUY,LDPL,Glasgow,GLA,EGPF
Pula,PUY,LDPL,London Gatwick,LGW,EGKK
Pula,PUY,LDPL,London Luton,LTN,EGGW
Split,SPU,LDSP,Amsterdam,AMS,EHAM
Split,SPU,LDSP,Basel,BSL,LFSB
Split,SPU,LDSP,Berlin Brandenburg,BER,EDDB
Split,SPU,LDSP,Bristol,BRS,EGGD
Split,SPU,LDSP,Geneva,GVA,LSGG
Split,SPU,LDSP,Glasgow,GLA,EGPF
Split,SPU,LDSP,Liverpool,LPL,EGGP
Split,SPU,LDSP,London Gatwick,LGW,EGKK
Split,SPU,LDSP,London Luton,LTN,EGGW
Split,SPU,LDSP,Lyon,LYS,LFLL
Split,SPU,LDSP,Manchester,MAN,EGCC
Split,SPU,LDSP,Milan Linate,LIN,LIML
Split,SPU,LDSP,Naples,NAP,LIRN
Split,SPU,LDSP,Paris Charles de Gaulle,CDG,LFPG
Split,SPU,LDSP,Paris Orly,ORY,LFPO
Split,SPU,LDSP,Porto,OPO,LPPR
Zadar,ZAD,LDZD,Basel,BSL,LFSB
Zadar,ZAD,LDZD,London Gatwick,LGW,EGKK
Cyprus Larnaca,LCA,LCLK,Amsterdam,AMS,EHAM
Cyprus Larnaca,LCA,LCLK,Basel,BSL,LFSB
Cyprus Larnaca,LCA,LCLK,Belfast Intl,BFS,EGAA
Cyprus Larnaca,LCA,LCLK,Berlin Brandenburg,BER,EDDB
Cyprus Larnaca,LCA,LCLK,Birmingham,BHX,EGBB
Cyprus Larnaca,LCA,LCLK,Bristol,BRS,EGGD
Cyprus Larnaca,LCA,LCLK,Geneva,GVA,LSGG
Cyprus Larnaca,LCA,LCLK,Glasgow,GLA,EGPF
Cyprus Larnaca,LCA,LCLK,Liverpool,LPL,EGGP
Cyprus Larnaca,LCA,LCLK,London Gatwick,LGW,EGKK
Cyprus Larnaca,LCA,LCLK,London Luton,LTN,EGGW
Cyprus Larnaca,LCA,LCLK,Manchester,MAN,EGCC
Cyprus Larnaca,LCA,LCLK,Paris Charles de Gaulle,CDG,LFPG
Cyprus Paphos,PFO,LCPH,Bristol,BRS,EGGD
Cyprus Paphos,PFO,LCPH,Edinburgh,EDI,EGPH
Cyprus Paphos,PFO,LCPH,Liverpool,LPL,EGGP
Cyprus Paphos,PFO,LCPH,London Gatwick,LGW,EGKK
Cyprus Paphos,PFO,LCPH,London Luton,LTN,EGGW
Cyprus Paphos,PFO,LCPH,Manchester,MAN,EGCC
Prague,PRG,LKPR,Alicante,ALC,LEAL
Prague,PRG,LKPR,Amsterdam,AMS,EHAM
Prague,PRG,LKPR,Basel,BSL,LFSB
Prague,PRG,LKPR,Belfast Intl,BFS,EGAA
Prague,PRG,LKPR,Birmingham,BHX,EGBB
Prague,PRG,LKPR,Bordeaux,BOD,LFBD
Prague,PRG,LKPR,Bristol,BRS,EGGD
Prague,PRG,LKPR,Edinburgh,EDI,EGPH
Prague,PRG,LKPR,Geneva,GVA,LSGG
Prague,PRG,LKPR,Glasgow,GLA,EGPF
Prague,PRG,LKPR,Hamburg,HAM,EDDH
Prague,PRG,LKPR,Lille,LIL,LFQQ
Prague,PRG,LKPR,Lisbon,LIS,LPPT
Prague,PRG,LKPR,Liverpool,LPL,EGGP
Prague,PRG,LKPR,London Gatwick,LGW,EGKK
Prague,PRG,LKPR,London Luton,LTN,EGGW
Prague,PRG,LKPR,Lyon,LYS,LFLL
Prague,PRG,LKPR,Manchester,MAN,EGCC
Prague,PRG,LKPR,Marrakech,RAK,GMMX
Prague,PRG,LKPR,Milan Malpensa,MXP,LIMC
Prague,PRG,LKPR,Nantes,NTE,LFRS
Prague,PRG,LKPR,Naples,NAP,LIRN
Prague,PRG,LKPR,Newcastle,NCL,EGNT
Prague,PRG,LKPR,Nice,NCE,LFMN
Prague,PRG,LKPR,Porto,OPO,LPPR
Copenhagen,CPH,EKCH,Amsterdam,AMS,EHAM
Copenhagen,CPH,EKCH,Basel,BSL,LFSB
Copenhagen,CPH,EKCH,Berlin Brandenburg,BER,EDDB
Copenhagen,CPH,EKCH,Birmingham,BHX,EGBB
Copenhagen,CPH,EKCH,Bristol,BRS,EGGD
Copenhagen,CPH,EKCH,Edinburgh,EDI,EGPH
Copenhagen,CPH,EKCH,Geneva,GVA,LSGG
Copenhagen,CPH,EKCH,London Gatwick,LGW,EGKK
Copenhagen,CPH,EKCH,Manchester,MAN,EGCC
Copenhagen,CPH,EKCH,Milan Linate,LIN,LIML
Copenhagen,CPH,EKCH,Newcastle,NCL,EGNT
Cairo Sphinx,SPX,HESX,Berlin Brandenburg,BER,EDDB
Cairo Sphinx,SPX,HESX,Geneva,GVA,LSGG
Cairo Sphinx,SPX,HESX,London Luton,LTN,EGGW
Cairo Sphinx,SPX,HESX,Manchester,MAN,EGCC
Cairo Sphinx,SPX,HESX,Milan Malpensa,MXP,LIMC
Cairo Sphinx,SPX,HESX,Naples,NAP,LIRN
Cairo Sphinx,SPX,HESX,Nice,NCE,LFMN
Cairo Sphinx,SPX,HESX,Paris Charles de Gaulle,CDG,LFPG
Hurghada,HRG,HEGN,Amsterdam,AMS,EHAM
