flight_number,operator_icao,departure_city,departure_iata,departure_icao,arrival_city,arrival_iata,arrival_icao,aircraft_type,aircraft_icao,dep_local,arr_local,dep_utc,arr_utc,duration_minutes,distance_nm,days_operated,time_variants,updated
U2856,EZY,Aberdeen,ABZ,EGPD,London Gatwick,LGW,EGKK,,,06:05,07:50,05:05,06:50,105,370,1234567,3,2026-09-24T08:57:48.000Z
U24636,EJU,Aberdeen,ABZ,EGPD,Paris Charles de Gaulle,CDG,LFPG,,,07:55,10:50,06:55,08:50,115,521,1457,4,2026-09-24T08:57:40.000Z
U2616,EZY,Aberdeen,ABZ,EGPD,London Luton,LTN,EGGW,,,09:05,10:30,08:05,09:30,85,326,13457,4,2026-09-24T08:57:40.000Z
U2858,EZY,Aberdeen,ABZ,EGPD,London Gatwick,LGW,EGKK,,,15:35,17:20,14:35,16:20,105,370,1234567,2,2026-09-24T08:57:40.000Z
U21050,EZS,Lanzarote,ACE,GCRR,Basel,BSL,LFSB,,,10:05,15:05,09:05,13:05,240,1489,7,1,2026-08-30T10:59:10.000Z
U24776,EJU,Lanzarote,ACE,GCRR,Nantes,NTE,LFRS,,,10:15,14:40,09:15,12:40,205,1228,12467,5,2026-09-24T08:57:48.000Z
U23766,EJU,Lanzarote,ACE,GCRR,Milan Malpensa,MXP,LIMC,,,11:05,15:55,10:05,13:55,230,1454,4,1,2026-08-27T15:00:52.000Z
U28122,EZY,Lanzarote,ACE,GCRR,London Gatwick,LGW,EGKK,,,11:15,15:20,10:15,14:20,245,1464,123457,6,2026-09-24T08:57:48.000Z
U22030,EZY,Lanzarote,ACE,GCRR,Manchester,MAN,EGCC,,,11:25,15:40,10:25,14:40,255,1548,23467,5,2026-09-24T00:59:24.000Z
U21866,EJU,Lanzarote,ACE,GCRR,Bordeaux,BOD,LFBD,,,13:40,17:50,12:40,15:50,190,1134,2,1,2026-09-22T16:59:22.000Z
U23760,EJU,Lanzarote,ACE,GCRR,Milan Malpensa,MXP,LIMC,,,15:15,20:05,14:15,18:05,230,1454,1236,4,2026-09-23T19:59:18.000Z
U24514,EJU,Lanzarote,ACE,GCRR,Paris Charles de Gaulle,CDG,LFPG,,,16:00,20:55,15:00,18:55,235,1415,5,1,2026-09-04T19:59:06.000Z
U21366,EZS,Lanzarote,ACE,GCRR,Geneva,GVA,LSGG,,,17:20,22:10,16:20,20:10,230,1391,36,2,2026-09-23T21:59:38.000Z
U28124,EZY,Lanzarote,ACE,GCRR,London Gatwick,LGW,EGKK,,,17:30,21:30,16:30,20:30,240,1464,12346,5,2026-09-24T08:57:48.000Z
U21086,EZS,Lanzarote,ACE,GCRR,Basel,BSL,LFSB,,,17:55,22:55,16:55,20:55,240,1489,346,3,2026-09-23T19:00:09.000Z
U21860,EJU,Lanzarote,ACE,GCRR,Bordeaux,BOD,LFBD,,,18:15,22:25,17:15,20:25,190,1134,26,2,2026-09-19T21:59:50.000Z
U24578,EJU,Lanzarote,ACE,GCRR,Paris Charles de Gaulle,CDG,LFPG,320,A320,18:20,23:15,17:20,21:15,235,1415,1346,4,2026-09-23T22:59:16.000Z
U22734,EZY,Lanzarote,ACE,GCRR,Bristol,BRS,EGGD,,,18:25,22:15,17:25,21:15,230,1433,23467,5,2026-09-24T08:57:48.000Z
U26646,EZY,Lanzarote,ACE,GCRR,Birmingham,BHX,EGBB,,,18:35,22:45,17:35,21:45,250,1507,26,2,2026-09-22T23:00:48.000Z
U22302,EZY,Lanzarote,ACE,GCRR,London Luton,LTN,EGGW,,,18:45,22:50,17:45,21:50,245,1498,2457,4,2026-09-24T08:57:48.000Z
U24378,EJU,Lanzarote,ACE,GCRR,Lyon,LYS,LFLL,,,18:50,23:20,17:50,21:20,210,1339,23467,5,2026-09-22T23:00:53.000Z
U24580,EJU,Lanzarote,ACE,GCRR,Paris Charles de Gaulle,CDG,LFPG,,,19:05,23:55,18:05,21:55,230,1415,3,1,2026-08-26T22:59:37.000Z
U28126,EZY,Lanzarote,ACE,GCRR,London Gatwick,LGW,EGKK,,,19:15,23:15,18:15,22:15,240,1464,23567,5,2026-09-23T23:59:05.000Z
U23204,EZY,Lanzarote,ACE,GCRR,Edinburgh,EDI,EGPH,,,19:30,23:55,18:30,22:55,265,1679,247,3,2026-09-24T08:57:48.000Z
U23020,EZY,Lanzarote,ACE,GCRR,Belfast Intl,BFS,EGAA,,,19:55,00:20,18:55,23:20,265,1577,15,2,2026-09-22T01:01:50.000Z
U23112,EZY,Lanzarote,ACE,GCRR,Glasgow,GLA,EGPF,,,20:20,00:40,19:20,23:40,260,1664,14,2,2026-09-22T00:59:00.000Z
U22048,EZY,Lanzarote,ACE,GCRR,Manchester,MAN,EGCC,,,21:20,01:35,20:20,00:35,255,1548,1,1,2026-09-22T02:59:15.000Z
U23364,EZY,Lanzarote,ACE,GCRR,Liverpool,LPL,EGGP,,,21:40,01:45,20:40,00:45,245,1539,36,2,2026-09-24T01:59:59.000Z
U28128,EZY,Lanzarote,ACE,GCRR,London Gatwick,LGW,EGKK,,,22:50,02:45,21:50,01:45,235,1464,14,2,2026-09-22T02:59:14.000Z
